data,hora,radiacao_global
2023-03-03,1500 UTC,
2023-03-03,1600 UTC,
2023-03-03,1700 UTC,
2023-03-03,1800 UTC,
2023-03-03,1900 UTC,
2023-03-03,2000 UTC,
2023-03-03,2100 UTC,
2023-03-03,2200 UTC,
2023-03-04,1000 UTC,131.0
2023-03-04,1100 UTC,
2023-03-04,1200 UTC,
2023-03-04,1300 UTC,
2023-03-04,1400 UTC,
2023-03-04,1500 UTC,
2023-03-04,1600 UTC,
2023-03-04,1700 UTC,
2023-03-04,1800 UTC,
2023-03-04,1900 UTC,
2023-03-04,2000 UTC,
2023-03-04,2100 UTC,
2023-03-04,2200 UTC,
2023-03-05,1000 UTC,174.0
2023-03-05,1100 UTC,
2023-03-05,1200 UTC,
2023-03-05,1300 UTC,
2023-03-05,1400 UTC,
2023-03-05,1500 UTC,
2023-03-05,1600 UTC,
2023-03-05,1700 UTC,3174.0
2023-03-05,1800 UTC,
2023-03-05,1900 UTC,
2023-03-05,2000 UTC,1060.0
2023-03-05,2100 UTC,
2023-03-05,2200 UTC,
2023-03-06,1000 UTC,
2023-03-06,1100 UTC,
2023-03-06,1200 UTC,
2023-03-06,1300 UTC,2589.0
2023-03-06,1400 UTC,
2023-03-06,1500 UTC,
2023-03-06,1600 UTC,
2023-03-06,1700 UTC,
2023-03-06,1800 UTC,
2023-03-06,1900 UTC,
2023-03-06,2000 UTC,
2023-03-06,2100 UTC,
2023-03-06,2200 UTC,
2023-03-07,1000 UTC,
2023-03-07,1100 UTC,
2023-03-07,1200 UTC,
2023-03-07,1300 UTC,
2023-03-07,1400 UTC,
2023-03-07,1500 UTC,
2023-03-07,1600 UTC,800.0
2023-03-07,1700 UTC,
2023-03-07,1800 UTC,
2023-03-07,1900 UTC,
2023-03-07,2000 UTC,
2023-03-07,2100 UTC,
2023-03-07,2200 UTC,
2023-03-08,1000 UTC,
2023-03-08,1100 UTC,527.0
2023-03-08,1200 UTC,
2023-03-08,1300 UTC,
2023-03-08,1400 UTC,
2023-03-08,1500 UTC,
2023-03-08,1600 UTC,
2023-03-08,1700 UTC,
2023-03-08,1800 UTC,
2023-03-08,1900 UTC,
2023-03-08,2000 UTC,
2023-03-08,2100 UTC,
2023-03-08,2200 UTC,7.0
2023-03-09,1000 UTC,
2023-03-09,1100 UTC,
2023-03-09,1200 UTC,
2023-03-09,1300 UTC,
2023-03-09,1400 UTC,
2023-03-09,1500 UTC,
2023-03-09,1600 UTC,
2023-03-09,1700 UTC,
2023-03-09,1800 UTC,
2023-03-09,1900 UTC,
2023-03-09,2000 UTC,1237.0
2023-03-09,2100 UTC,
2023-03-09,2200 UTC,
2023-03-10,1000 UTC,
2023-03-10,1100 UTC,
2023-03-10,1200 UTC,
2023-03-10,1300 UTC,
2023-03-10,1400 UTC,849.0
2023-03-10,1500 UTC,
2023-03-10,1600 UTC,
2023-03-10,1700 UTC,
2023-03-10,1800 UTC,
2023-03-10,1900 UTC,
2023-03-10,2000 UTC,
2023-03-10,2100 UTC,
2023-03-10,2200 UTC,
